num_of_methods_propagated,expected_leaks,ground_truth,analysis_time,cg_edges,analysis_memory,stmts_propagated,reachable_methods,app_name,no_of_leaks,cg_name,num_edges_propagated,cg_construction_time,unexpected_leaks
11692694827,0,-1,19177.71,7340153,185930.0,309107139340,167212,mxplayer,39,CHA,253997023,587.0,0
142857865,0,-1,5197.17,199616,195731.0,3051548939,35695,mxplayer,59,SPARK,505420075,780.0,0
173915182,0,-1,10844.29,137158,195396.0,1438822765,28373,mxplayer,28,s-2c,360931692,7220.72,0
193214058,0,-1,3384.89,137434,195638.0,1567976815,28388,mxplayer,32,2t,364830586,97.84,0
197329785,0,-1,3027.52,139840,196092.0,1589380448,29014,mxplayer,30,Z-2o,368751707,183.87,0
199150817,0,-1,3833.42,137143,196007.0,1585999960,28370,mxplayer,28,2h,368777736,898.3,0
