num_of_methods_propagated,expected_leaks,ground_truth,analysis_time,cg_edges,analysis_memory,stmts_propagated,reachable_methods,app_name,no_of_leaks,cg_name,num_edges_propagated,cg_construction_time,unexpected_leaks
4302851028,0,-1,1716.39,128806,194834.0,69651783748,14289,webview,13,CHA,445037830,9.0,0
1853481880,0,-1,3287.86,67605,195227.0,31367542386,8885,webview,14,RTA,580483284,92.0,0
9172,0,-1,16.11,17928,815.0,133427,3852,webview,2,VTA,31826,10.0,0
57,0,-1,7.12,6188,1059.0,378,1745,webview,2,SPARK,343,2.0,0
51,0,-1,18.61,4844,1190.0,362,1613,webview,2,s-2c,341,16.49,0
51,0,-1,3.67,4845,394.0,362,1613,webview,2,2t,343,1.6,0
51,0,-1,4.38,4845,736.0,362,1613,webview,2,Z-2o,343,2.34,0
51,0,-1,4.36,4845,423.0,362,1613,webview,2,2h,343,2.23,0
