num_of_methods_propagated,expected_leaks,ground_truth,analysis_time,cg_edges,analysis_memory,stmts_propagated,reachable_methods,app_name,no_of_leaks,cg_name,num_edges_propagated,cg_construction_time,unexpected_leaks
39791365,0,-1,18111.1,1433408,53029.0,4146789337,55122,gfiles,8,CHA,9885404,50.0,0
700510,0,-1,19477.84,1090924,53771.0,56479236,45282,gfiles,8,RTA,1719110,1331.0,0
97444,0,-1,18134.66,693631,41445.0,5619725,40030,gfiles,6,VTA,1170656,88.0,0
74601,0,-1,18129.18,128153,53075.0,4252169,16893,gfiles,1,SPARK,1165822,111.0,0
7228,0,-1,22818.15,74871,136430.0,623286,12866,gfiles,0,s-2c,354228,4804.08,0
27765,0,-1,22297.64,80890,75064.0,2256395,13296,gfiles,0,2t,511802,4282.78,0
6256,0,-1,35097.41,77129,114122.0,450377,12900,gfiles,0,Z-2o,202636,17082.31,0
14046,0,-1,55182.91,75626,112596.0,823694,12883,gfiles,0,2h,311352,37168.64,0
