num_of_methods_propagated,expected_leaks,ground_truth,analysis_time,cg_edges,analysis_memory,stmts_propagated,reachable_methods,app_name,no_of_leaks,cg_name,num_edges_propagated,cg_construction_time,unexpected_leaks
2296774,0,-1,19183.96,5528412,59006.0,27197048,188554,mivideo,21,CHA,250786,654.0,0
54162395,0,-1,5129.12,158885,195640.0,384011332,35503,mivideo,77,SPARK,185919009,570.0,0
