num_of_methods_propagated,expected_leaks,ground_truth,analysis_time,cg_edges,analysis_memory,stmts_propagated,reachable_methods,app_name,no_of_leaks,cg_name,num_edges_propagated,cg_construction_time,unexpected_leaks
1969777062,0,-1,3163.47,2346452,194554.0,24162143301,83885,zoho-show,2,CHA,345003010,98.0,0
1715259356,0,-1,5309.31,1800509,194486.0,20924800561,72319,zoho-show,1,RTA,324580186,2674.0,0
1627587530,0,-1,2794.42,1072169,204866.0,22049234546,62216,zoho-show,5,VTA,295525423,174.0,0
413275469,0,-1,1461.44,340440,195312.0,3840943337,21240,zoho-show,3,SPARK,345663021,279.0,0
325347647,0,-1,12049.7,241304,192082.0,2894500958,19470,zoho-show,1,s-2c,332393497,10942.64,0
440900181,0,-1,1532.93,292103,194783.0,4216673924,19447,zoho-show,1,2t,361133755,73.09,0
441671304,0,-1,1585.78,292468,195203.0,4136452574,19486,zoho-show,1,Z-2o,371245148,257.26,0
369219462,0,-1,1594.79,241554,195572.0,3228498630,19440,zoho-show,1,2h,351706127,445.26,0
