num_of_methods_propagated,expected_leaks,ground_truth,analysis_time,cg_edges,analysis_memory,stmts_propagated,reachable_methods,app_name,no_of_leaks,cg_name,num_edges_propagated,cg_construction_time,unexpected_leaks
3429922739,0,-1,2452.04,4604351,196764.0,31191863388,143660,netflix,4,CHA,294242431,227.0,0
2525143447,0,-1,14100.42,3721496,195457.0,24344856654,117784,netflix,6,RTA,302946600,10975.0,0
598319945,0,-1,1598.36,1658012,195101.0,5669300021,95540,netflix,2,VTA,321308474,346.0,0
3079757,0,-1,374.64,136158,9791.0,33363003,23318,netflix,0,SPARK,11191104,250.0,0
1992247,0,-1,2137.33,106664,21973.0,22482302,18216,netflix,0,s-2c,7426315,2052.64,0
1242582,0,-1,78.91,99208,8141.0,14398482,17151,netflix,0,2t,4134727,22.18,0
2094597,0,-1,156.24,102652,15049.0,23617302,18024,netflix,0,Z-2o,7771224,72.59,0
1215340,0,-1,413.95,98656,14352.0,14147708,17072,netflix,0,2h,4060927,359.66,0
